,paragraph_idx,text,subject,x,y
0,187,"People around us, communities, European countries and nations and tolerance",social_studies,8.611958,3.112232
1,11,1.4. Physical learning environment,career_education,4.249642,2.2737083
2,218,"Learning content 
Public sector and its institutions (state authorities, local government and public law agencies). 
Private sector as profit-driven. 
The third sector as a non-profit sector. Foundations, charity work, volunteer work and civic initiatives.",social_studies,8.862111,2.89345
3,217,"5 
business sector, private company, non-profit sector and foundation; 
2) explain the nature and roles of social sectors in society; and 
3) have an understanding of opportunities in the business and voluntary sectors.",social_studies,8.82903,2.981376
4,53,"Inquiry Skills 
After completing the 3rd grade of study, students: 
1) make simple  observations in nature and carry out simple investigatory activities; 
2) formulate experiences acquired, with the help of their senses, associated with phenomena and 
objects; 
3) undertake practical work using simple tools, following instructions and safety needs; 
4) formulate information gained from observations, draw conclusions and present them both orally and 
in written formats; 
5)  express science concepts  in appropriate ways through both oral  and written formats; and 
6)  apply science knowledge and skills gained from the study of science in undertaken decisions and 
appreciating the decisions of others in  everyday life.",natural_science,5.2431965,8.597096
5,104,"Orthology and language planning 
Learning Outcomes 
The students: 
1) know the phonemic system of Estonian, typical parts of speech and use of simple forms and 
follow the basics of Estonian orthography and the general rules learned; 
2) make and punctuate simple sentences, including phrasal coordinations and simpler complex 
sentences; 
3) can use online and printed dictionaries for checking the meaning and orthography of words; and 
4) apply the linguistic knowledge they have acquired in text creation, analysis and assessment.",language_and_literature,11.160723,-2.4664693
6,78,"The environment and health 
Learning outcomes 
Students will be able to: 
1) describe a healthy living environment in terms of the local natural and man-made environment; 
2) provide examples of factors which influence safety and healthiness of the living environment;  
3) describe the impact of the study environment on learning results.",social_studies,7.732306,4.523057
7,183,"Understanding the work/story as a whole. Study of characters: biological, psychological and social 
aspects. Changing and unchanging characters. Identifying changes occurring in characters in the course of 
the story. Simple and complicated characters. Characters’ relationship with themselves, other characters 
and the surrounding world. Understanding characters’ inner conflicts. Finding and formulating the main 
conflict between characters and analysing their relations. Explaining the characters’ motifs of action and 
analysing the causes of their behaviour. Conflict between character groups and its gradation. Comparing 
the main characters of different works. Literary character and its prototype. Typical characters in fiction.",language_and_literature,13.720938,-2.5437448
8,39,"Musical Movement 
Learning Outcomes 
The students: 
1) perceive and express the content, mood and structure of music through movement; and 
2) dance in Estonian singing games and round dances.",art,-1.4782526,-2.135772
9,124,"B2.1 
Can understand both live 
oral speech and sound 
recordings on concrete and 
abstract themes if the 
subject matter is generic 
and there are more than 
two people engaged in 
conversation. 
Can understand speech 
uttered at normal pace. 
  
Read and understand texts 
on several pages (e.g. 
articles, overviews, 
instructions, reference texts 
and fiction) which contain 
factual information, opinions 
and attitudes. 
Read fluently, their reading 
vocabulary is broad but may 
experience difficulties in 
understanding idioms. Know 
how to use single-language 
explanatory dictionaries. 
  
Present clear detailed 
descriptions on themes of 
common interest. Can explain 
and defend their positions. 
Can participate in discussions 
and make statements. 
Use diverse expressions and 
have wide vocabulary. Use 
more complex sentence 
structures but may make 
mistakes in them. Speech 
pace is quite stable even in 
longer speech passages; 
make few pauses in order to 
find words and choose 
morphological forms, which 
do not interfere with 
communication. Intonation is 
natural in most cases. 
Write coherent texts on 
specific and general themes 
(e.g. letter of explanation, 
news, comment). 
Explain their viewpoints and 
objectives. Can write letters, 
which concern their studies or 
work. Can differentiate 
between the style in personal 
and formal letters. Can use 
varied expressions (e.g. 
synonyms) in order to avoid 
repetitions. Might make minor 
mistakes in syntax, if the 
theme is not familiar to them, 
but these do not interfere with 
understanding.",foreign_languages,8.068449,-3.1855547
10,44,"Learning Content 
The term ‘percentage’ (revision). Introduction to the term ‘per mil’. Finding the whole on the basis of a 
percentage. Expression of quotients in percentages. Percentage point. Expression of increase and 
decrease in percentages. Distinguishing between change in percentage and change in percentage points.  
Use of computer programmes in order to practise required skills.",mathematics,3.3084004,-1.729831
11,52,"Learning content 
Time. Time planning. Planning one’s activities. Punctuality, promises and responsibility. 
Mine, his or hers and ours. Value and price of things. Value of things and other values.",social_studies,8.917677,3.6388726
12,10,"2.2.2. Production, marketing, labour 
Learning outcomes 
Students: 
1) explain the impact of demand and supply on the development of market prices; 
2) employ the principles of calculating productivity and cost price; 
3) know the consumer rights and obligations; 
4) know what to do if the sold product/service appears to be defective; 
5) implement simple sales techniques and advertise the products or services of their mini company;  
6) know the restrictions of advertising set out in the Advertising Act; 
7) calculate the employee's salary and the company's labour expenses; 
8) know how to do cash basis accounting and prepare simple profit and loss accounts;  
9) use interactive facilities (various calculators, comparative tables, etc.) available in the learning 
environments to develop their financial writing skills; 
10) are able to draft a curriculum vitae and an employment application. 
Learning content 
Consumer needs, demand, supply and market price. Consumer rights and obligations. Settlement of 
consumer complaints. Productivity, quality and cost price. Innovation and environmental sustainability as 
factors supporting business development. Fair trade. 
Marketing. Product properties and product development in accordance with the client's needs and the 
company's possibilities. Advertising, publicity (use of media, social media, outdoor advertising, etc.) and 
its effect. Requirements to advertisements. Selection and design of point of sale. Preparation of sales 
arguments.  
Revenue, expenses, taxes, profit, loss, budget, production costs, sales revenue, turnover. 
Labour. Wage and salary. Relationship between salary and productivity. Roles of employee, executive 
and subordinate. Gross and net salary. Income tax, social tax, unemployment insurance premium, 
pension contribution. 
Practical work and independent activities: Product presentation based on your own business idea and 
the client's needs. Preparation of sales arguments. Comparison of advertisements and preparing an 
advertisement for the mini company. Calculation of the cost and sales price of product or service, 
calculation of salary. Drafting of a curriculum vitae and an employment application, incl. a letter of 
motivation. Drafting of business letters, incl. e-mails. Work interviews.  
Topics for discussion: Relationship between new technologies, equipment, and the skills and 
knowledge of labour on the one hand, and productivity on the other hand, and their impact on product 
quality. Intellectual property rights and the need to protect such rights. Importance of marketing in 
business. Creativity and innovation in production and marketing. Responsibilities and obligations in 
production and marketing. Importance of education and skills and their impact on productivity and on 
relationship with the salary. Restrictions on employment of minors. 
.2.3. Management, teamwork and business ethics  
Students:  
1) know the meaning of corporate social responsibility and the possibility of providing their clients with 
greater safeguards than required by the law;  
2) evaluate the ethics of business decisions and describe their impact on the community and the natural 
environment. 
Learning content 
Management and division of functions, team motivation, control, responsibility. Project work. Time 
management. Business ethics.  
Practical work and independent activities: Preparing your schedule for a one-week period, developing 
a class or school event project as group work. Analysis of sample cases with a view to business ethics. 
Teamwork in the mini company. 
Topics for discussion: Valuing of teamwork. Employee as one of the main resources for the employer. 
Various incidents on the way to success and coping with failures, and analysis of and learning from such 
failures. Responsibility towards the natural environment, the consumers, the community and the company 
owners.",entrepreneurship_studies,0.69388866,1.9494884
13,26,"Math. Understanding of study texts and text problems is facilitated by reading skills developed in 
Estonian/Russian language and literature lessons. Learning how to spell numerals supports the acquiring 
of correct mathematical literacy.",language_and_literature,11.33916,-2.2988055
14,7,"1.3. 
Learning activities are planned and conducted in the following manner:",religious_studies,14.878561,7.5253305
15,116,1,social_studies,8.40014,3.126359
16,12,"2. Syllabus 
2.1. 1st Stage of Study of Religious studies",religious_studies,14.823567,7.515261
17,7,"The distribution of weekly hours of subjects within stages of study is specified in the school curriculum 
considering that the expected learning outcomes and learning and educational objectives would be 
2",mathematics,3.2844095,-0.4848867
18,69,"Understanding the meaning of words, sentences and text content. Recognising questions, requests, orders 
and prohibitions in texts. Predicting the content of texts by their title, pictures and single words.",language_and_literature,13.615516,-1.7386025
19,105,"Learning content 
Effective reflexive and social skills for avoiding risk behaviour: controlling emotions, self-perception, critical",social_studies,8.943735,4.012691
20,19,"Learning Content 
Oral and written lore. Examples of different creation myths. 
Hinduism. The blind men groping the elephant (how we understand things differently). 
Judaism. The code of Joseph (envy, diligence and forgiveness). 
Buddhism. Siddharta Gautama sees an old man, a corpse and a hermit (suffering and succour and 
richness and poverty). 
Christianity. The parable of the Good Samaritan (love for one’s neighbours and the ‘golden rule’). 
Islam. Muhammad and speaking the truth (truth and lies and keeping one’s word).",religious_studies,15.586176,7.6398253
21,105,"Everyday life. Learning and working. Public institutions; traffic safety; asking and giving directions; 
planning one’s day; professions and jobs. 
Spare time. Extracurricular activities; interests; camps; reading preferences; family vacation; seasons and 
vacation; fields of sports and participating  in  sports. 
.3.4.3. Study activities 
Alongside listening and speaking skills, reading and writing become important at the 2nd stage of study. 
Students’ knowledge of words is noticeably broader. The proportion of creative tasks increases. The aim is 
to make students read and listen to short texts from Estonian children’s literature and accomplishable 
informative, consumer and media texts in their spare time as well. In covering themes through different 
constituent skills, students are taught to understand other cultures and compare them to their own culture. 
Students are trained to use dictionaries and online sources in Estonian. 
The activities, which can be used for developing constituent skills include: 
1) listening to and reading different text types appropriate to the students’ age; 
2) independent reading of adapted texts appropriate to the students’ age; 
3) performing tasks based on what was heard and read (e.g. answering questions, filling in a table, 
making additions to drawings, etc.); 
4) sequencing tasks (e.g. making sentences from words or texts from sentences/passages); 
5) different types of dictations; 
6) paraphrasing; 
7) model writing (e.g. messages, postcards, short letters); 
8) project work; 
9) short presentations (e.g. project reports, introducing one’s hobbies); and 
10) role plays.",foreign_languages,9.72714,-2.478526
22,157,"Learning content 
Society in the early modern era, technology and the formation of the new concept of the world. Development 
of technology, economic relations, humanism, fine arts and Leonardo de Vinci. 
Great discoveries of unknown lands. Discovery of America, the meaning of discoveries for Europe and 
European influence in the lands discovered. 
The Reformation in Germany. Martin Luther. 
Estonia in the sixteenth century, the Reformation, administrative division and towns and the causes and 
consequences of the Livonian War.",social_studies,10.363492,2.4969854
23,27,"5) the study activities in all subjects of the fields are designed with practical application in mind. It is 
also taken into account that the theoretical and practical parts are alternating depending on the 
students’ abilities and progress. The practice of product design facilitates acquisition of useful 
knowledge, skills and attitudes. Activities are selected depending on the development, progress 
and abilities of students; 
6) the teacher makes sure that learning is varied so that the students can study different types of work 
and topics, try processing various materials and become familiar with their properties through 
manual work and creativity; 
7) students are encouraged to express their opinions, to engage in group reflection on topics related 
to the studies, and attention is paid to provision of value education; 
8) a business-like and pleasant working environment is ensured in the classroom and student 
creativity and initiative are supported; and 
9) local opportunities are used to diversify subject studies. 
In handicraft and home economics and technology studies:  
1) learning environments, teaching materials and means are used which are based on modern 
information and communication technology; 
2) the learning environment is expanded: library, computer/multimedia classroom, the natural 
environment, companies school yard, exhibitions, museums, etc.; 
3) different contemporary methods of teaching are used, including active learning (creative thinking, 
practical and research activities, project studies, experiments, e.g., properties of different materials 
and substances, organisation of events and exhibitions, use of online environments for presenting 
and displaying one’s ideas and work, role-play, discussions, debates, etc.);  
4) the main emphasis is on a creative design process (design, testing, product improvement, etc.), 
preservation of national work traditions (national products, folk art motifs used to adorn products 
etc.) and modern technology; 
5)  safety issues are addressed before use of any new processing methods or equipment, incl. work 
instructions and demonstration of safe techniques; 
6) the time allocation of learning contents – the number and sequence of lessons – is planned while 
keeping in mind the recommendation to select two main techniques of work in handicraft, which 
can be linked to recurrent topics within the subject (design, folk art, organisation of work, and 
materials); 
7) study is organised according to a project-based format (incl. projects that connect different subjects 
and areas of life, cooperation with businesses, and cooperation between boys and girls in home 
economics, handicraft and technology studies), which facilitates greater emphasis on local 
traditions, presentation of and experimentation with various techniques, guiding students towards 
individual and collective creative problem solutions and organisation of events related to the 
subject; 
8) when preparing food in home economics or performing other practical assignments, a class is 
divided into smaller groups (1-5 students); 
9) it is kept in mind that technology study is primarily based on the product/other development cycle; 
10) the students’ workload (including homework) should be moderate and evenly distributed throughout 
the school year, leaving them sufficient time for rest and recreational activities; 
11) the aim is to ensure that home assignments in handicrafts and technology studies are linked with 
finding the necessary information, independent planning and organisation of work, and also with 
product design in case of handicraft, avoiding excessive supervision;",technology,0.48354188,1.4802388
24,95,"Values and morality: self-assessment, integrity toward oneself and others, personal needs and interests 
and those of others, understanding good and bad, fairness and unfairness, praiseworthy and condemnable, 
difference from others, my hobbies and interests, my health and future, problems related to wealth and 
poverty, commitments and responsibility, being alone and fears.",language_and_literature,11.78905,-1.6115288
25,17,"1) Self-analysis and its importance in career planning 
Learning outcomes 
The students: 
1) Analyze their personality; 
2) Identify their strong and weak points and associates these properties with the requirements of 
different professions; 
3) Use the results of self-analysis in planning their careers.",career_education,6.98294,2.1173003
26,5,"–   4 lessons per we 
3rd stage of study 
Estonian/Russian language – 6 lessons per week 
Literature",language_and_literature,10.992511,-2.3762157
27,201,"3 
responsibility.",social_studies,8.291874,3.2381055
